"","time","metric2","incidence_rate"
"113",2011,"Brucellosis",2.84515740160088
"114",2010,"Brucellosis",2.5302306010229
"115",2009,"Brucellosis",2.6969473371613
"116",2008,"Brucellosis",2.10150686071945
"117",2007,"Brucellosis",1.50029319659143
"118",2006,"Brucellosis",1.45408251312936
"119",2005,"Brucellosis",1.4167462996021
"120",2004,"Brucellosis",0.882543003969597
"121",2023,"Hepatitis E",2.1118
"122",2022,"Hepatitis E",1.8
"123",2021,"Hepatitis E",1.8477
"124",2020,"Hepatitis E",1.3558
"125",2019,"Hepatitis E",2.016
"126",2018,"Hepatitis E",2.0591
"127",2017,"Hepatitis E",2.10271067510771
"128",2016,"Hepatitis E",2.0369359324486
"129",2015,"Hepatitis E",1.99410380299016
"130",2014,"Hepatitis E",1.99148652057021
"131",2013,"Hepatitis E",2.06064813447166
"132",2012,"Hepatitis E",2.02404720977934
"133",2011,"Hepatitis E",2.17777480122536
"134",2010,"Hepatitis E",1.774278132578
"135",2009,"Hepatitis E",1.52670893625601
"136",2008,"Hepatitis E",1.40203891651341
"137",2007,"Hepatitis E",1.56541418316829
"138",2006,"Hepatitis E",1.45362364314152
"139",2005,"Hepatitis E",1.19557201575349
"140",2004,"Hepatitis E",1.26503984983229
"141",2023,"Neonatal Tetanus",0.0015
"142",2022,"Neonatal Tetanus",0
"143",2021,"Neonatal Tetanus",0.0019
"144",2020,"Neonatal Tetanus",0.0024
"145",2019,"Neonatal Tetanus",0.0046
"146",2018,"Neonatal Tetanus",0.0059
"147",2017,"Neonatal Tetanus",0.00673992185789677
"148",2016,"Neonatal Tetanus",0.0129123150219684
"149",2015,"Neonatal Tetanus",0.0224592647397765
"150",2014,"Neonatal Tetanus",0.0314352029703168
"151",2013,"Neonatal Tetanus",0.0363357064783906
"152",2012,"Neonatal Tetanus",0.0486881658030598
"153",2011,"Neonatal Tetanus",0.0585423333662732
"154",2010,"Neonatal Tetanus",0.079191452839074
"155",2009,"Neonatal Tetanus",0.10632370002434
"156",2008,"Neonatal Tetanus",0.135170931438216
"157",2007,"Neonatal Tetanus",0.160672340713002
"158",2006,"Neonatal Tetanus",0.192648916560925
"159",2005,"Neonatal Tetanus",0.212404242680354
"160",2004,"Neonatal Tetanus",0.227251746315044
"161",2023,"Syphilis",37.6036
"162",2022,"Syphilis",31.27
"163",2021,"Syphilis",34.0493
"164",2020,"Syphilis",33.0831
"165",2019,"Syphilis",38.3676
"166",2018,"Syphilis",35.625
"167",2017,"Syphilis",34.4866582290189
"168",2016,"Syphilis",31.9670255949805
"169",2015,"Syphilis",31.8520815561431
"170",2014,"Syphilis",30.9253771080587
"171",2013,"Syphilis",30.0413577146909
"172",2012,"Syphilis",30.4355958895182
"173",2011,"Syphilis",29.4711801074529
"174",2010,"Syphilis",26.8617108346306
"175",2009,"Syphilis",23.0705110036524
"176",2008,"Syphilis",19.486562374649
"177",2007,"Syphilis",15.8834346512421
"178",2006,"Syphilis",12.800178310759
"179",2005,"Syphilis",9.72743732912618
"180",2004,"Syphilis",7.1216573837585
"181",2023,"Meningococcal Meningitis",0.0064
"182",2022,"Meningococcal Meningitis",0
"183",2021,"Meningococcal Meningitis",0.0045
"184",2020,"Meningococcal Meningitis",0.0035
"185",2019,"Meningococcal Meningitis",0.0079
"186",2018,"Meningococcal Meningitis",0.0074
"187",2017,"Meningococcal Meningitis",0.00855172880894429
"188",2016,"Meningococcal Meningitis",0.00736804416507804
"189",2015,"Meningococcal Meningitis",0.00778000673992259
"190",2014,"Meningococcal Meningitis",0.0125445645656194
"191",2013,"Meningococcal Meningitis",0.015730702194913
"192",2012,"Meningococcal Meningitis",0.0144728541640193
"193",2011,"Meningococcal Meningitis",0.0170033783535163
"194",2010,"Meningococcal Meningitis",0.0243493114216642
"195",2009,"Meningococcal Meningitis",0.0470625442742297
"196",2008,"Meningococcal Meningitis",0.0697802904737037
"197",2007,"Meningococcal Meningitis",0.0911389508400455
"198",2006,"Meningococcal Meningitis",0.12764233495045
"199",2005,"Meningococcal Meningitis",0.178324170421246
"200",2004,"Meningococcal Meningitis",0.20755762070345
"201",2023,"Gonorrhea",7.3497
"202",2022,"Gonorrhea",6.83
"203",2021,"Gonorrhea",9.0655
"204",2020,"Gonorrhea",7.4908
"205",2019,"Gonorrhea",8.445
"206",2018,"Gonorrhea",9.5857
"207",2017,"Gonorrhea",10.0631381675081
"208",2016,"Gonorrhea",8.39110804003897
"209",2015,"Gonorrhea",7.3576110909768
"210",2014,"Gonorrhea",7.0451012516081
"211",2013,"Gonorrhea",7.36012230067059
"212",2012,"Gonorrhea",6.81730806937264
"213",2011,"Gonorrhea",7.30503913701901
"214",2010,"Gonorrhea",7.907457614425
"215",2009,"Gonorrhea",9.02275568818448
"216",2008,"Gonorrhea",9.90077878436982
"217",2007,"Gonorrhea",11.0764255638215
"218",2006,"Gonorrhea",12.1443766198063
"219",2005,"Gonorrhea",13.8717433622422
"220",2004,"Gonorrhea",17.3416776933255
"221",2023,"Anthrax",0.0308
"222",2022,"Anthrax",0.02
"223",2021,"Anthrax",0.0278
"224",2020,"Anthrax",0.0159
"225",2019,"Anthrax",0.0212
"226",2018,"Anthrax",0.0241
"227",2017,"Anthrax",0.0230461844173244
"228",2016,"Anthrax",0.027283648690487
"229",2015,"Anthrax",0.0211381315197897
"230",2014,"Anthrax",0.0183003059545506
"231",2013,"Anthrax",0.014253640955954
"232",2012,"Anthrax",0.0175900842916542
"233",2011,"Anthrax",0.0230440522422655
"234",2010,"Anthrax",0.021652156925726
"235",2009,"Anthrax",0.0264303248644074
"236",2008,"Anthrax",0.0254296937084213
"237",2007,"Anthrax",0.0320279618561429
"238",2006,"Anthrax",0.0344917274192048
"239",2005,"Anthrax",0.0409268587852041
"240",2004,"Anthrax",0.0470043388620488
"241",2023,"Rabies",0.0087
"242",2022,"Rabies",0.01
"243",2021,"Rabies",0.0111
"244",2020,"Rabies",0.0143
"245",2019,"Rabies",0.0207
"246",2018,"Rabies",0.0303
"247",2017,"Rabies",0.0373
"248",2016,"Rabies",0.0469
"249",2015,"Rabies",0.0035
"250",2014,"Rabies",0.004
"251",2013,"Rabies",0.0051
"252",2012,"Rabies",0.105763165044756
"253",2011,"Rabies",0.0084
"254",2010,"Rabies",0.009
"255",2009,"Rabies",0.0097
"256",2008,"Rabies",0.0108
"257",2007,"Rabies",0.0144
"258",2006,"Rabies",0.0144
"259",2005,"Rabies",0.0111
"260",2004,"Rabies",0.203941902329446
"261",2023,"Scarlet Fever",1.8315
"262",2022,"Scarlet Fever",1.47
"263",2021,"Scarlet Fever",2.0927
"264",2020,"Scarlet Fever",1.1799
"265",2019,"Scarlet Fever",5.8528
"266",2018,"Scarlet Fever",5.6773
"267",2017,"Scarlet Fever",5.38969084569812
"268",2016,"Scarlet Fever",4.32467717023917
"269",2015,"Scarlet Fever",5.00922339616016
"270",2014,"Scarlet Fever",4.00297055288914
"271",2013,"Scarlet Fever",2.52629169005347
"272",2012,"Scarlet Fever",3.44817605951884
"273",2011,"Scarlet Fever",4.76377983537681
"274",2010,"Scarlet Fever",1.56404992381127
"275",2009,"Scarlet Fever",1.66172196326992
"276",2008,"Scarlet Fever",2.10264211490286
"277",2007,"Scarlet Fever",2.54763037206297
"278",2006,"Scarlet Fever",2.1123315106839
"279",2005,"Scarlet Fever",1.92848589478853
"280",2004,"Scarlet Fever",1.45698064436717
"281",2023,"Hepatitis A",0.8199
"282",2022,"Hepatitis A",0.74
"283",2021,"Hepatitis A",0.8497
"284",2020,"Hepatitis A",1.0553
"285",2019,"Hepatitis A",1.3799
"286",2018,"Hepatitis A",1.1659
"287",2017,"Hepatitis A",1.36791424804088
"288",2016,"Hepatitis A",1.55276059459095
"289",2015,"Hepatitis A",1.66367370541345
"290",2014,"Hepatitis A",1.91629292473276
"291",2013,"Hepatitis A",1.64278750997016
"292",2012,"Hepatitis A",1.81489591216802
"293",2011,"Hepatitis A",2.34586960301846
"294",2010,"Hepatitis A",2.64298664314476
"295",2009,"Hepatitis A",3.30123040564241
"296",2008,"Hepatitis A",4.24221783257271
"297",2007,"Hepatitis A",5.86811600421278
"298",2006,"Hepatitis A",5.25153757581937
"299",2005,"Hepatitis A",5.64275218991717
"300",2004,"Hepatitis A",7.19966458442318
"301",2023,"Malaria",0.1641
"302",2022,"Malaria",0.06
"303",2021,"Malaria",0.0555
"304",2020,"Malaria",0.0728
"305",2019,"Malaria",0.1796
"306",2018,"Malaria",0.1797
"307",2017,"Malaria",0.194153232874252
"308",2016,"Malaria",0.229576584034659
"309",2015,"Malaria",0.228702839637725
"310",2014,"Malaria",0.215545135859848
"311",2013,"Malaria",0.287731529349207
"312",2012,"Malaria",0.181912643876981
"313",2011,"Malaria",0.304867590829713
"314",2010,"Malaria",0.553590960291313
"315",2009,"Malaria",1.06158039868494
"316",2008,"Malaria",1.99486865109098
"317",2007,"Malaria",3.55069136273576
"318",2006,"Malaria",4.60346019632859
"319",2005,"Malaria",3.05074344358281
"320",2004,"Malaria",2.88772809797827
"321",2023,"Dysentery",2.6327
"322",2022,"Dysentery",2.55
"323",2021,"Dysentery",3.5752
"324",2020,"Dysentery",4.1186
"325",2019,"Dysentery",5.8054
"326",2018,"Dysentery",6.5619
"327",2017,"Dysentery",7.9261481048866
"328",2016,"Dysentery",8.99360979013184
"329",2015,"Dysentery",10.1959924178286
"330",2014,"Dysentery",11.3332761694744
"331",2013,"Dysentery",13.9337833446575
"332",2012,"Dysentery",15.3953316225044
"333",2011,"Dysentery",17.7439202265444
